iter	Passed	Remaining
548	6130	10619
549	6141	10607
550	6152	10595
551	6162	10584
552	6173	10572
553	6184	10560
554	6196	10550
555	6207	10539
556	6219	10529
557	6230	10517
558	6240	10505
559	6251	10494
560	6262	10482
561	6273	10470
562	6284	10458
563	6294	10446
564	6305	10435
565	6316	10423
566	6327	10411
567	6338	10400
568	6349	10388
569	6359	10376
570	6370	10364
571	6382	10354
572	6392	10342
573	6403	10330
574	6414	10319
575	6425	10307
576	6436	10296
577	6447	10285
578	6458	10273
579	6468	10261
580	6479	10249
581	6490	10237
582	6501	10226
583	6512	10214
584	6523	10203
585	6534	10191
586	6545	10180
587	6556	10169
588	6567	10157
589	6578	10146
590	6589	10134
591	6600	10123
592	6611	10111
593	6622	10100
594	6633	10090
595	6645	10079
596	6656	10068
597	6667	10057
598	6678	10045
599	6688	10033
600	6699	10020
601	6710	10010
602	6721	9998
603	6732	9986
604	6743	9976
605	6754	9965
606	6765	9952
607	6775	9940
608	6786	9929
609	6797	9917
610	6809	9907
611	6819	9895
612	6830	9884
613	6841	9871
614	6852	9860
615	6862	9848
616	6873	9836
617	6884	9824
618	6895	9814
619	6907	9803
620	6918	9792
621	6928	9780
622	6939	9769
623	6949	9756
624	6960	9744
625	6972	9734
626	6983	9723
627	6994	9712
628	7005	9700
629	7015	9687
630	7026	9676
631	7037	9665
632	7047	9653
633	7058	9641
634	7068	9629
635	7079	9617
636	7090	9606
637	7101	9594
638	7111	9582
639	7124	9573
640	7134	9561
641	7145	9549
642	7156	9537
643	7167	9527
644	7178	9515
645	7189	9504
646	7200	9493
647	7212	9482
648	7222	9471
649	7233	9459
650	7244	9448
651	7255	9436
652	7266	9425
653	7277	9413
654	7287	9401
655	7299	9391
656	7310	9379
657	7321	9368
658	7332	9356
659	7342	9345
660	7353	9333
661	7364	9321
662	7375	9311
663	7386	9299
664	7396	9287
665	7407	9276
666	7418	9264
667	7429	9252
668	7439	9240
669	7449	9228
670	7460	9216
671	7470	9205
672	7482	9194
673	7493	9182
674	7503	9171
675	7514	9160
676	7526	9149
677	7536	9137
678	7546	9125
679	7556	9112
680	7567	9101
681	7578	9089
682	7589	9078
683	7600	9067
684	7611	9055
685	7621	9043
686	7632	9032
687	7644	9021
688	7654	9009
689	7664	8997
690	7675	8986
